player_name,player_number,position,height,weight,birth_year,hometown,home_state,school,passing_yards,passing_comp,passing_att,passing_pct,passing_td,passing_int,passing_long,passing_rating,rushing_yards,rushing_carries,rushing_long,rushing_td,receiving_yards,receiving_rec,receiving_long,receiving_td,tackles_solo,tackles_assists,tackles_for_loss,sacks,forced_fumbles,interceptions,interception_return_yards,interception_return_long,interception_return_td,fumble_recoveries,fumble_return_yards,fumble_return_long,fumble_return_td,pass_deflections,blocked_kicks_and_punts,kickoff_returns,kickoff_returns_yards,kickoff_returns_long,kickoff_returns_td,punt_returns,punt_return_yards,punt_return_long,punt_return_td,punts,punting_yards,punting_touchbacks,punting_long,touchdowns,field_goals,field_goal_att,field_goal_long,pat_kicks,pat_kicks_att,safeties,pat_conversions,season,team,nr
Arielle Hester,69.0,OL,5-6,250,1989,Jacksonville,FL,Edward Waters University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Kiana Stafford,72.0,OL,6-0,250,1995,Jacksonville,FL,University of North Florida,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Sabrina Ceniza,78.0,OL,5-3,205,1996,Lakeland,FL,University of North Florida,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Angie Patton,80.0,DB,5-7,170,1988,Sacramento,CA,US Army Signal School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,29.0,1.0,2.0,2.0,1,0,0,0,0,1,0,NR,0,2,0,2,2,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Breana Haines,88.0,TE,5-9,172,1989,Columbia,SC,Florida State University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,16,3,10,0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Mikayla Taylor,90.0,OL,5-6,255,1997,Jacksonville,FL,Englewood High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Danielle Arnold,92.0,DE,5-11,170,1979,Fargo,ND,North Dakota State University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,8,1,8,0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Amanda Krauss,99.0,OL,6-0,202,1988,Fernandina Beach,FL,Florida State College of Jacksonville,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Avengers,
Dominique Williams,0.0,TE,5-9,180,1996,Upper Darby,PA,Claflin University,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,159,11,51,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,Phantomz,
Jelisa Fladger,1.0,LB,5-3,160,1991,Camden,NJ,Winslow Township High School,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5.0,8.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,Phantomz,
